Algorithm;FunctionName;Trials;Dimension;MaxIterations;PopulationSize;LowerBoundary;UpperBoundary;SearchedMinimum;BestFitness;BestSolution;ResultType
JSO;Rastrigin;10;2;1000;50;-5.12;5.12;0.0;4.05891173471673e-05;(-0.00031983863518858513, -0.0003198338935690437);BEST
JSO;Rastrigin;10;2;1000;50;-5.12;5.12;0.0;0.47293762713659504;(-0.03714088748472144, -0.03184314814236444);WORST
JSO;Rastrigin;10;2;1000;100;-5.12;5.12;0.0;2.020840128125201e-06;(7.136542885533004e-05, 7.136573472932284e-05);BEST
JSO;Rastrigin;10;2;1000;100;-5.12;5.12;0.0;0.05130988336569686;(0.01590957947165028, 0.002392426755939314);WORST
JSO;Rastrigin;10;5;50;30;-5.12;5.12;0.0;4.473960473888823;(1.9455830801203917, -0.01176656997364045, -0.01176656997364045, -0.01176656997364045, 0.01176656997364045);BEST
JSO;Rastrigin;10;5;50;30;-5.12;5.12;0.0;23.592421264990556;(-1.0000020581386522, -0.019208476572878913, -1.3026628769068795, 0.1308931144205362, 2.033790721659567);WORST
JSO;Rastrigin;10;5;50;50;-5.12;5.12;0.0;12.229379936852773;(-0.8894048094483653, 0.17960653664080736, -0.0394208061356664, -0.10246963341313542, 1.0113468636198335);BEST
JSO;Rastrigin;10;5;50;50;-5.12;5.12;0.0;25.550661844584255;(0.9907413434700616, 1.0131350771430663, -1.1768426552210185, 1.275987148599838, 0.8848153364024425);WORST
JSO;Rastrigin;10;5;50;100;-5.12;5.12;0.0;5.003824032152949;(1.0003689036418963, 1.0003689036418963, 1.0003689036418963, 1.0003689036418963, 1.0003689036418963);BEST
JSO;Rastrigin;10;5;50;100;-5.12;5.12;0.0;17.389988588475966;(-1.146220966198165, -0.953442244219687, 1.13062864010011, -1.0241590084071497, 0.16952321882371502);WORST
JSO;Rastrigin;10;5;100;30;-5.12;5.12;0.0;5.055472013612118;(-0.9859341469080043, 0.9859341469080043, 0.9859341469080043, 0.9859341469080043, -0.9859341469080043);BEST
JSO;Rastrigin;10;5;100;30;-5.12;5.12;0.0;26.416414111671884;(-0.2748107454850405, -0.01747609550734125, 0.00845867531592484, 0.17390325010780167, 2.943701131760631);WORST
JSO;Rastrigin;10;5;100;50;-5.12;5.12;0.0;5.373387824689708;(-0.9748815568073148, 0.9748815568073148, -0.9748815568073148, -0.9748815568073148, 0.9748815568073148);BEST
JSO;Rastrigin;10;5;100;50;-5.12;5.12;0.0;13.369538560414554;(0.020479755051278303, 1.1420247743128318, -0.142990298681823, 0.004399436830671899, -1.130634785641079);WORST
JSO;Rastrigin;10;5;100;100;-5.12;5.12;0.0;0.0056365369632445095;(-0.0023837628231477836, -0.0023837628231477836, -0.0023837628231477836, -0.0023837628231477836, 0.0023837628231477836);BEST
JSO;Rastrigin;10;5;100;100;-5.12;5.12;0.0;16.782896274090774;(0.03205879650302634, -0.08537959779209636, -0.17424963823331396, 1.1034698281688193, -1.874581388035435);WORST
JSO;Rastrigin;10;5;500;30;-5.12;5.12;0.0;0.0035877342305141724;(-0.001901802993311108, -0.001901802993311108, -0.001901802993311108, -0.001901802993311108, -0.001901802993311108);BEST
JSO;Rastrigin;10;5;500;30;-5.12;5.12;0.0;16.161890809931847;(1.8577577746697422, -0.9120766269487627, -0.09065088764509993, 1.1399408615578106, 0.027252624570176125);WORST
JSO;Rastrigin;10;5;500;50;-5.12;5.12;0.0;0.05223960446737408;(-0.007257552779313059, -0.007257552779313059, 0.007257552779313059, -0.007257552779313059, -0.007257552779313059);BEST
JSO;Rastrigin;10;5;500;50;-5.12;5.12;0.0;10.03010848065319;(-1.1074414735014715, 0.0975170007283781, 0.0975170007283781, 0.0975170007283781, -1.0205143386984794);WORST
JSO;Rastrigin;10;5;500;100;-5.12;5.12;0.0;0.06908270898092894;(0.00834616596986315, -0.00834616596986315, 0.00834616596986315, 0.00834616596986315, 0.00834616596986315);BEST
JSO;Rastrigin;10;5;500;100;-5.12;5.12;0.0;9.668175449704314;(0.05326738171776668, 0.05326738171776668, -0.20804059830234767, -0.05326738171776668, 0.05326738171776668);WORST
JSO;Rastrigin;10;5;1000;30;-5.12;5.12;0.0;0.0012268985200023508;(-0.0017612039292229653, -3.964317446047971e-05, -3.9643307554904084e-05, -3.964319060845156e-05, -0.0017543430101660817);BEST
JSO;Rastrigin;10;5;1000;30;-5.12;5.12;0.0;5.041356547955658;(-0.9920614811818345, -1.012338411426895, -0.9920614811818345, -0.9920614811818345, 0.9920614811818345);WORST
